번호,자치구,동,공원수,유치원,초등학교,중학교,고등학교,특수학교,학원,여가시설,음식점,의료시설,공기오염도,cctv,노인복지시설,체육시설,공공도서관
3,종로구,사직동,6,1,1,1,1,1,41,25,678,39,0.091982161,100,4,1,1
4,종로구,삼청동,7,2,1,1,1,1,11,2,317,11,0.111425545,120,5,2,1
5,종로구,부암동,11,2,2,1,2,1,41,6,180,11,0.169755696,183,8,2,1
6,종로구,평창동,40,7,6,4,6,2,61,13,214,20,0.663318513,715,29,7,3
7,종로구,무악동,2,1,1,1,1,1,24,6,64,16,0.026921608,29,2,1,1
8,종로구,교남동,2,1,1,1,1,1,12,8,140,20,0.026173786,29,2,1,1
9,종로구,가회동,3,1,1,1,1,1,17,10,233,10,0.040382412,44,2,1,1
10,종로구,종로1.2.3.4가동,11,2,2,1,2,1,192,132,1938,140,0.175738276,190,8,2,1
11,종로구,종로5·6가동,3,1,1,1,1,1,0,0,0,0,0.044869347,49,2,1,1
12,종로구,이화동,4,1,1,1,1,1,36,44,429,30,0.058330151,63,3,1,1
13,종로구,창신1동,2,1,1,1,1,1,26,13,181,20,0.023182496,25,1,1,1
14,종로구,창신2동,2,1,1,1,1,1,10,12,90,11,0.019443384,21,1,1,1
15,종로구,창신3동,2,1,1,1,1,1,11,0,20,4,0.017199916,19,1,1,1
16,종로구,숭인1동,2,1,1,1,1,1,15,2,77,12,0.017199916,19,1,1,1
17,종로구,숭인2동,2,1,1,1,1,1,30,17,177,20,0.026173786,29,2,1,1
18,종로구,청운효자동,12,2,2,1,2,1,31,5,244,13,0.19219037,207,9,2,1
19,종로구,혜화동,5,1,1,1,1,1,52,34,547,28,0.083756114,91,4,1,1
21,중구,소공동,7,2,2,1,2,0,25,19,758,52,0.177077877,121,6,3,1
22,중구,회현동,7,2,2,1,2,0,15,30,658,74,0.156574123,107,5,2,1
23,중구,명동,8,2,2,1,2,0,42,67,1348,163,0.184533787,126,6,3,1
24,중구,필동,9,2,2,1,2,0,23,22,319,24,0.212493452,145,7,3,1
25,중구,장충동,10,2,2,2,2,0,9,12,169,6,0.25350096,173,8,4,1
26,중구,광희동,6,1,1,1,1,0,23,29,568,43,0.137934346,94,4,2,1
27,중구,을지로동,5,1,1,1,1,0,18,21,340,21,0.111838659,76,4,2,1
28,중구,신당5동,3,1,1,1,1,0,17,8,164,17,0.072695128,50,3,1,1
29,중구,황학동,3,1,1,1,1,0,5,10,152,14,0.061511262,42,2,1,1
30,중구,중림동,4,1,1,1,1,0,17,8,151,25,0.089470927,61,3,2,1
31,중구,신당동,5,1,1,1,1,0,28,26,264,18,0.102518771,70,3,2,1
32,중구,다산동,4,1,1,1,1,0,37,25,209,40,0.09506286,65,3,2,1
33,중구,약수동,4,1,1,1,1,0,67,21,172,51,0.089470927,61,3,2,1
34,중구,청구동,3,1,1,1,1,0,50,11,106,16,0.06337524,44,2,1,1
35,중구,동화동,2,1,1,1,1,0,37,15,82,15,0.048463419,33,2,1,1
37,용산구,후암동,5,1,1,1,1,0,31,3,128,15,0.072748057,94,5,2,1
38,용산구,용산2가동,10,2,2,1,1,0,15,11,159,6,0.165797897,214,10,3,1
39,용산구,남영동,6,1,1,1,1,0,38,43,359,41,0.100663009,130,7,2,1
40,용산구,원효로2동,4,1,1,1,1,0,31,17,79,6,0.060059442,78,4,1,1
41,용산구,효창동,3,1,1,1,1,0,28,2,60,14,0.037219936,48,3,1,1
42,용산구,용문동,2,1,1,1,1,0,23,5,95,13,0.023685414,31,2,1,1
43,용산구,이촌1동,15,3,2,2,2,0,70,10,279,64,0.241929584,312,15,4,1
